customer_id,total_inventory,total_amount
526,45,221.55
148,46,216.54
144,42,195.58
137,39,194.61
178,39,194.61
459,38,186.62
469,40,177.60
468,39,175.61
236,42,175.58
181,34,174.66
176,37,173.63
50,35,169.65
259,32,168.68
522,33,167.67
410,38,167.62
403,35,166.65
295,38,162.62
209,32,161.68
373,35,161.65
470,32,160.68
187,28,159.72
550,32,159.68
462,33,159.67
267,36,159.64
293,31,158.69
372,34,158.66
273,35,157.65
368,35,157.65
346,32,155.68
21,35,155.65
75,41,155.59
197,40,154.60
119,34,153.66
532,32,152.68
390,33,152.67
26,34,152.66
274,35,152.65
506,35,152.65
366,37,152.63
7,33,151.67
454,33,151.67
211,34,151.66
196,35,151.65
439,36,151.64
257,37,151.63
360,34,150.66
371,35,149.65
513,31,148.69
86,33,148.67
309,31,147.69
204,35,147.65
103,31,146.69
479,31,146.69
348,36,146.64
87,30,145.70
362,32,145.68
172,33,145.67
436,30,144.70
277,32,144.68
237,33,144.67
66,34,144.66
5,38,144.62
337,29,143.71
363,29,143.71
120,32,143.68
289,30,142.70
347,30,142.70
46,34,142.66
239,34,142.66
39,29,141.71
472,30,141.70
78,31,141.69
84,33,141.67
533,33,141.67
566,34,141.66
198,37,141.63
494,31,140.69
242,32,140.68
29,36,140.64
146,29,139.71
467,29,139.71
404,30,139.70
484,30,139.70
114,33,139.67
576,34,139.66
349,29,138.71
482,29,138.71
306,32,138.68
51,33,138.67
502,34,138.66
80,30,137.70
210,31,137.69
300,31,137.69
102,33,137.67
207,34,137.66
200,27,136.73
380,36,136.64
3,26,135.74
285,26,135.74
558,28,135.72
448,29,135.71
56,30,135.70
334,30,135.70
279,31,135.69
125,32,135.68
535,32,135.68
168,34,135.66
591,27,134.73
307,30,134.70
15,32,134.68
89,32,134.68
520,32,134.68
569,32,134.68
438,33,134.67
473,34,134.66
433,25,133.75
59,27,133.73
92,28,133.72
504,28,133.72
179,29,133.71
265,29,133.71
112,30,133.70
221,28,132.72
316,29,132.71
108,30,132.70
319,30,132.70
560,30,132.70
245,32,132.68
13,27,131.73
299,30,131.70
314,33,131.67
82,26,130.74
594,27,130.73
49,28,130.72
154,30,130.70
141,32,130.68
342,32,130.68
497,28,129.72
589,28,129.72
71,30,129.70
269,30,129.70
296,30,129.70
584,30,129.70
35,32,129.68
244,32,129.68
354,36,129.64
2,27,128.73
434,27,128.73
322,28,128.72
54,29,128.71
131,30,128.70
297,33,128.67
451,33,128.67
508,25,127.75
45,27,127.73
32,29,127.71
253,29,127.71
302,29,127.71
339,30,127.70
128,32,127.68
329,32,127.68
38,34,127.66
147,34,127.66
206,27,126.73
426,27,126.73
284,28,126.72
515,28,126.72
565,29,126.71
575,29,126.71
107,30,126.70
27,31,126.69
122,32,126.68
158,32,126.68
19,24,125.76
389,26,124.74
491,27,124.73
400,28,124.72
388,30,124.70
230,33,124.67
129,34,124.66
166,28,123.72
268,29,123.71
499,30,123.70
30,34,123.66
510,26,122.74
331,27,122.73
276,28,122.72
163,29,122.71
263,29,122.71
260,31,122.69
406,32,122.68
241,34,122.66
571,24,121.76
149,26,121.74
356,30,121.70
393,31,121.69
416,31,121.69
311,23,120.77
105,26,120.74
225,26,120.74
423,26,120.74
495,26,120.74
573,29,120.71
251,31,120.69
170,26,119.74
487,26,119.74
421,27,119.73
262,28,119.72
173,29,119.71
23,30,119.70
336,30,119.70
340,31,119.69
167,32,119.68
41,25,118.75
531,25,118.75
280,27,118.73
292,27,118.73
16,28,118.72
266,28,118.72
332,28,118.72
529,29,118.71
1,32,118.68
442,32,118.68
583,23,117.77
490,24,117.76
585,24,117.76
536,25,117.75
240,26,117.74
286,27,117.73
577,27,117.73
14,28,117.72
126,28,117.72
386,29,117.71
538,29,117.71
42,30,117.70
595,30,117.70
321,22,116.78
432,23,116.77
408,30,116.70
214,31,116.69
446,31,116.69
254,32,116.68
304,26,115.74
512,26,115.74
58,27,115.73
500,28,115.72
25,29,115.71
287,29,115.71
481,29,115.71
485,29,115.71
588,29,115.71
20,30,115.70
