film_id,title,max_rate,rental_demand
2,"ACE GOLDFINGER",4.99,7
7,"AIRPLANE SIERRA",4.99,15
8,"AIRPORT POLLOCK",4.99,18
10,"ALADDIN CALENDAR",4.99,23
13,"ALI FOREVER",4.99,9
20,"AMELIE HELLFIGHTERS",4.99,10
21,"AMERICAN CIRCUS",4.99,22
28,"ANTHEM LUKE",4.99,15
31,"APACHE DIVINE",4.99,31
32,"APOCALYPSE FLAMINGOS",4.99,6
44,"ATTACKS HATE",4.99,16
45,"ATTRACTION NEWTON",4.99,24
46,"AUTUMN CROW",4.99,11
47,"BABY HALL",4.99,8
48,"BACKLASH UNDEFEATED",4.99,19
60,"BEAST HUNCHBACK",4.99,11
61,"BEAUTY GREASE",4.99,22
65,"BEHAVIOR RUNAWAY",4.99,13
68,"BETRAYED REAR",4.99,15
70,"BIKINI BORROWERS",4.99,17
71,"BILKO ANONYMOUS",4.99,13
74,"BIRCH ANTITRUST",4.99,11
75,"BIRD INDEPENDENCE",4.99,11
77,"BIRDS PERDITION",4.99,18
81,"BLINDNESS GUN",4.99,14
84,"BOILED DARES",4.99,15
86,"BOOGIE AMELIE",4.99,29
88,"BORN SPINAL",4.99,12
92,"BOWFINGER GABLES",4.99,11
93,"BRANNIGAN SUNRISE",4.99,12
95,"BREAKFAST GOLDFINGER",4.99,17
98,"BRIGHT ENCOUNTERS",4.99,13
100,"BROOKLYN DESERT",4.99,21
102,"BUBBLE GROSSE",4.99,6
103,"BUCKET BROTHERHOOD",4.99,34
112,"CALENDAR GUNFIGHT",4.99,21
113,"CALIFORNIA BIRDS",4.99,12
117,"CANDLES GRAPES",4.99,23
120,"CARIBBEAN LIBERTY",4.99,9
123,"CASABLANCA SUPER",4.99,16
124,"CASPER DRAGONFLY",4.99,8
126,"CASUALTIES ENCINO",4.99,9
127,"CAT CONEHEADS",4.99,30
131,"CENTER DINOSAUR",4.99,24
133,"CHAMBER ITALIAN",4.99,13
134,"CHAMPION FLATLINERS",4.99,13
139,"CHASING FIGHT",4.99,20
141,"CHICAGO NORTH",4.99,16
145,"CHISUM BEHAVIOR",4.99,13
151,"CINCINATTI WHISPERER",4.99,13
156,"CLERKS ANGELS",4.99,7
159,"CLOSER BANG",4.99,28
161,"CLUE GRAIL",4.99,7
165,"COLDBLOODED DARLING",4.99,16
167,"COMA HEAD",4.99,26
170,"COMMAND DARLING",4.99,16
172,"CONEHEADS SMOOCHY",4.99,25
173,"CONFESSIONS MAGUIRE",4.99,14
174,"CONFIDENTIAL INTERVIEW",4.99,29
177,"CONNECTICUT TRAMP",4.99,13
179,"CONQUERER NUTS",4.99,16
182,"CONTROL ANTHEM",4.99,7
183,"CONVERSATION DOWNHILL",4.99,17
190,"CREEPERS KANE",4.99,14
202,"DADDY PITTSBURGH",4.99,13
203,"DAISY MENAGERIE",4.99,16
207,"DANGEROUS UPTOWN",4.99,12
210,"DARKO DORADO",4.99,11
211,"DARLING BREAKING",4.99,9
212,"DARN FORRESTER",4.99,18
214,"DAUGHTER MADIGAN",4.99,9
215,"DAWN POND",4.99,18
216,"DAY UNFAITHFUL",4.99,14
219,"DEEP CRUSADE",4.99,14
222,"DESERT POSEIDON",4.99,19
224,"DESPERATE TRAINSPOTTING",4.99,6
226,"DESTINY SATURDAY",4.99,16
227,"DETAILS PACKER",4.99,19
229,"DEVIL DESIRE",4.99,15
239,"DOGMA FAMILY",4.99,30
243,"DOORS PRESIDENT",4.99,19
244,"DORADO NOTTING",4.99,27
246,"DOUBTFIRE LABYRINTH",4.99,10
248,"DOZEN LION",4.99,7
251,"DRAGONFLY STRANGERS",4.99,18
253,"DRIFTER COMMANDMENTS",4.99,24
255,"DRIVING POLISH",4.99,21
256,"DROP WATERFRONT",4.99,9
260,"DUDE BLINDNESS",4.99,16
263,"DURHAM PANKY",4.99,26
265,"DYING MAKER",4.99,17
267,"EAGLES PANKY",4.99,22
268,"EARLY HOME",4.99,7
271,"EASY GLADIATOR",4.99,23
