payment_id,customer_id,staff_id,rental_id,amount,pay_date,last_update_date
1,1,1,76,2.99,2005-05-25,2006-02-15
2,1,1,573,0.99,2005-05-28,2006-02-15
3,1,1,1185,5.99,2005-06-15,2006-02-15
4,1,2,1422,0.99,2005-06-15,2006-02-15
5,1,2,1476,9.99,2005-06-15,2006-02-15
6,1,1,1725,4.99,2005-06-16,2006-02-15
7,1,1,2308,4.99,2005-06-18,2006-02-15
8,1,2,2363,0.99,2005-06-18,2006-02-15
9,1,1,3284,3.99,2005-06-21,2006-02-15
10,1,2,4526,5.99,2005-07-08,2006-02-15
11,1,1,4611,5.99,2005-07-08,2006-02-15
12,1,1,5244,4.99,2005-07-09,2006-02-15
13,1,1,5326,4.99,2005-07-09,2006-02-15
14,1,1,6163,7.99,2005-07-11,2006-02-15
15,1,2,7273,2.99,2005-07-27,2006-02-15
16,1,1,7841,4.99,2005-07-28,2006-02-15
17,1,2,8033,4.99,2005-07-28,2006-02-15
18,1,1,8074,0.99,2005-07-28,2006-02-15
19,1,2,8116,0.99,2005-07-28,2006-02-15
20,1,2,8326,2.99,2005-07-29,2006-02-15
21,1,2,9571,2.99,2005-07-31,2006-02-15
22,1,2,10437,4.99,2005-08-01,2006-02-15
23,1,2,11299,3.99,2005-08-02,2006-02-15
24,1,1,11367,0.99,2005-08-02,2006-02-15
25,1,2,11824,4.99,2005-08-17,2006-02-15
26,1,1,12250,0.99,2005-08-18,2006-02-15
27,1,2,13068,0.99,2005-08-19,2006-02-15
28,1,2,13176,2.99,2005-08-19,2006-02-15
29,1,1,14762,0.99,2005-08-21,2006-02-15
30,1,1,14825,1.99,2005-08-22,2006-02-15
31,1,2,15298,2.99,2005-08-22,2006-02-15
32,1,1,15315,5.99,2005-08-22,2006-02-15
33,2,1,320,4.99,2005-05-27,2006-02-15
34,2,1,2128,2.99,2005-06-17,2006-02-15
35,2,1,5636,2.99,2005-07-10,2006-02-15
36,2,1,5755,6.99,2005-07-10,2006-02-15
37,2,2,7346,4.99,2005-07-27,2006-02-15
38,2,1,7376,5.99,2005-07-27,2006-02-15
39,2,2,7459,5.99,2005-07-27,2006-02-15
40,2,2,8230,5.99,2005-07-29,2006-02-15
41,2,1,8598,2.99,2005-07-29,2006-02-15
42,2,2,8705,5.99,2005-07-29,2006-02-15
43,2,1,9031,4.99,2005-07-30,2006-02-15
44,2,2,9236,10.99,2005-07-30,2006-02-15
45,2,2,9248,0.99,2005-07-30,2006-02-15
46,2,2,9296,6.99,2005-07-30,2006-02-15
47,2,2,9465,6.99,2005-07-30,2006-02-15
48,2,1,10136,2.99,2005-07-31,2006-02-15
49,2,1,10466,0.99,2005-08-01,2006-02-15
50,2,1,10918,0.99,2005-08-02,2006-02-15
51,2,1,11087,5.99,2005-08-02,2006-02-15
52,2,1,11177,6.99,2005-08-02,2006-02-15
53,2,2,11256,2.99,2005-08-02,2006-02-15
54,2,1,11614,2.99,2005-08-17,2006-02-15
55,2,1,12963,2.99,2005-08-19,2006-02-15
56,2,1,14475,4.99,2005-08-21,2006-02-15
57,2,2,14743,5.99,2005-08-21,2006-02-15
58,2,2,15145,4.99,2005-08-22,2006-02-15
59,2,2,15907,4.99,2005-08-23,2006-02-15
60,3,1,435,1.99,2005-05-27,2006-02-15
61,3,1,830,2.99,2005-05-29,2006-02-15
62,3,1,1546,8.99,2005-06-16,2006-02-15
63,3,1,1726,6.99,2005-06-16,2006-02-15
64,3,2,1911,6.99,2005-06-17,2006-02-15
65,3,1,2628,2.99,2005-06-19,2006-02-15
66,3,1,4180,4.99,2005-07-07,2006-02-15
67,3,1,4725,4.99,2005-07-08,2006-02-15
68,3,1,7096,5.99,2005-07-27,2006-02-15
69,3,2,7503,10.99,2005-07-27,2006-02-15
70,3,2,7703,7.99,2005-07-28,2006-02-15
71,3,2,7724,6.99,2005-07-28,2006-02-15
72,3,1,7911,4.99,2005-07-28,2006-02-15
73,3,2,8086,4.99,2005-07-28,2006-02-15
74,3,1,8545,2.99,2005-07-29,2006-02-15
75,3,1,9226,1.99,2005-07-30,2006-02-15
76,3,2,9443,3.99,2005-07-30,2006-02-15
77,3,1,9595,2.99,2005-07-31,2006-02-15
78,3,2,9816,4.99,2005-07-31,2006-02-15
79,3,2,10597,5.99,2005-08-01,2006-02-15
80,3,2,12556,4.99,2005-08-18,2006-02-15
81,3,1,13403,8.99,2005-08-19,2006-02-15
82,3,2,13610,2.99,2005-08-20,2006-02-15
83,3,2,14699,8.99,2005-08-21,2006-02-15
84,3,2,15038,0.99,2005-08-22,2006-02-15
85,3,1,15619,2.99,2005-08-23,2006-02-15
86,4,1,1297,4.99,2005-06-15,2006-02-15
87,4,1,1633,0.99,2005-06-16,2006-02-15
88,4,2,1707,2.99,2005-06-16,2006-02-15
89,4,2,1735,0.99,2005-06-16,2006-02-15
90,4,2,2043,0.99,2005-06-17,2006-02-15
91,4,1,2642,5.99,2005-06-19,2006-02-15
92,4,1,7660,2.99,2005-07-28,2006-02-15
93,4,2,7718,2.99,2005-07-28,2006-02-15
94,4,1,8741,3.99,2005-07-29,2006-02-15
95,4,1,9100,5.99,2005-07-30,2006-02-15
96,4,1,9371,5.99,2005-07-30,2006-02-15
97,4,2,11069,0.99,2005-08-02,2006-02-15
98,4,1,11110,2.99,2005-08-02,2006-02-15
99,4,2,11529,4.99,2005-08-17,2006-02-15
100,4,1,12151,2.99,2005-08-18,2006-02-15
101,4,2,12294,8.99,2005-08-18,2006-02-15
102,4,2,12856,1.99,2005-08-19,2006-02-15
103,4,1,13704,2.99,2005-08-20,2006-02-15
104,4,1,13807,6.99,2005-08-20,2006-02-15
105,4,2,14225,4.99,2005-08-21,2006-02-15
106,4,1,15147,2.99,2005-08-22,2006-02-15
107,4,2,15635,1.99,2005-08-23,2006-02-15
108,5,1,731,0.99,2005-05-29,2006-02-15
109,5,1,1085,6.99,2005-05-31,2006-02-15
110,5,1,1142,1.99,2005-05-31,2006-02-15
111,5,1,1502,3.99,2005-06-15,2006-02-15
112,5,2,1631,2.99,2005-06-16,2006-02-15
113,5,2,2063,4.99,2005-06-17,2006-02-15
114,5,2,2570,2.99,2005-06-19,2006-02-15
115,5,2,3126,4.99,2005-06-20,2006-02-15
116,5,2,3677,4.99,2005-07-06,2006-02-15
117,5,2,4889,2.99,2005-07-08,2006-02-15
118,5,1,5016,4.99,2005-07-09,2006-02-15
119,5,2,5118,5.99,2005-07-09,2006-02-15
120,5,2,5156,1.99,2005-07-09,2006-02-15
121,5,2,5721,0.99,2005-07-10,2006-02-15
122,5,1,6042,8.99,2005-07-11,2006-02-15
123,5,1,6663,3.99,2005-07-12,2006-02-15
124,5,2,6685,4.99,2005-07-12,2006-02-15
125,5,2,7293,0.99,2005-07-27,2006-02-15
